Date,closing_price,adj_close_price,Tweets
02/01/14,79.01857,73.52253,
03/01/14,77.28286,71.907555,
04/01/14,77.704285,72.299644,
05/01/14,77.148575,71.782608,
06/01/14,77.637146,72.23719,
07/01/14,76.645714,71.314728,
08/01/14,76.134285,70.838882,
09/01/14,76.53286,71.209717,
10/01/14,78.055717,72.626656,
11/01/14,79.622856,74.084801,
12/01/14,79.178574,73.671394,
13/01/14,77.238571,71.866348,
14/01/14,78.438568,72.982872,
15/01/14,78.78714,73.307205,
16/01/14,79.454285,73.927948,
17/01/14,78.010002,72.584122,
18/01/14,78.64286,73.172943,
19/01/14,72.35714,67.324432,
20/01/14,71.535713,66.560143,
21/01/14,71.397141,66.431213,
22/01/14,71.514282,66.540199,
23/01/14,71.647141,66.663811,
24/01/14,72.684288,67.62883,
25/01/14,73.227142,68.133934,
26/01/14,73.215714,68.531052,
27/01/14,74.239998,69.489799,
28/01/14,75.57,70.734695,
29/01/14,76.565712,71.666718,
30/01/14,76.559998,71.661362,
31/01/14,77.775711,72.799271,
01/02/14,77.71286,72.740463,
02/02/14,77.998573,73.007904,
03/02/14,76.767143,71.855263,
04/02/14,75.878571,71.023521,
05/02/14,75.035713,70.234596,
06/02/14,75.364288,70.542152,
07/02/14,74.580002,69.808067,
08/02/14,73.907143,69.178246,
09/02/14,75.381432,70.558205,
10/02/14,75.177139,70.366982,
11/02/14,75.394287,70.570236,
12/02/14,75.891426,71.035568,
13/02/14,76.05143,71.185341,
14/02/14,75.821426,70.970055,
15/02/14,75.777145,70.928604,
16/02/14,75.845711,70.992775,
17/02/14,76.584282,71.684082,
18/02/14,76.658569,71.753624,
19/02/14,75.807144,70.956673,
20/02/14,74.955711,70.159729,
21/02/14,75.248573,70.433861,
22/02/14,75.914284,71.056946,
23/02/14,75.894287,71.038239,
24/02/14,75.528572,70.695923,
25/02/14,76.124283,71.253517,
26/02/14,77.027145,72.098618,
27/02/14,77.855713,72.874161,
28/02/14,77.111427,72.177513,
01/03/14,76.779999,71.867294,
02/03/14,76.694283,71.787056,
03/03/14,76.677139,71.770996,
04/03/14,77.378571,72.427544,
05/03/14,77.507141,72.547905,
06/03/14,76.970001,72.045128,
07/03/14,75.974289,71.113136,
08/03/14,74.781425,69.996613,
09/03/14,74.777145,69.992584,
10/03/14,75.760002,70.91256,
11/03/14,74.78286,69.99794,
12/03/14,74.230003,69.480453,
13/03/14,74.525711,69.75724,
14/03/14,73.994286,69.259811,
15/03/14,74.144287,69.400215,
16/03/14,74.991432,70.193161,
17/03/14,75.881432,71.026222,
18/03/14,75.957146,71.097084,
19/03/14,74.964287,70.167747,
20/03/14,81.110001,75.920242,
21/03/14,81.705711,76.477829,
22/03/14,84.870003,79.439636,
23/03/14,84.618568,79.204292,
24/03/14,84.298569,78.904778,
25/03/14,84.497147,79.09066,
26/03/14,84.654289,79.23774,
27/03/14,85.851425,80.358292,
28/03/14,84.915718,79.482452,
29/03/14,84.618568,79.204292,
30/03/14,83.998573,79.063126,
31/03/14,83.648575,78.733696,
01/04/14,84.690002,79.713921,
02/04/14,84.822861,79.838974,
03/04/14,84.83857,79.85376,
04/04/14,84.117142,79.174721,
05/04/14,85.358574,80.343224,
06/04/14,86.370003,81.295219,
07/04/14,86.387146,81.311363,
08/04/14,86.615715,81.526489,
09/04/14,86.752853,81.655579,
10/04/14,87.732857,82.578003,
11/04/14,89.375717,84.124321,
12/04/14,89.144287,83.906494,
13/04/14,90.76857,85.435349,
14/04/14,90.428574,85.115334,
15/04/14,89.807144,84.530403,
16/04/14,91.077141,85.725792,
17/04/14,92.117142,86.704674,
18/04/14,92.478569,87.044861,
19/04/14,92.224289,86.805527,
20/04/14,93.699997,88.194534,
21/04/14,94.25,88.712196,
22/04/14,93.860001,88.345131,
23/04/14,92.290001,86.867378,
24/04/14,91.279999,85.91671,
25/04/14,92.199997,86.782669,
26/04/14,92.080002,86.669724,
27/04/14,92.18,86.76384,
28/04/14,91.860001,86.462639,
29/04/14,90.910004,85.568466,
30/04/14,90.830002,85.493149,
01/05/14,90.279999,84.975479,
02/05/14,90.360001,85.050781,
03/05/14,90.900002,85.559052,
04/05/14,91.980003,86.5756,
05/05/14,92.93,87.46978,
06/05/14,93.519997,88.025101,
07/05/14,93.480003,87.987465,
08/05/14,94.029999,88.505142,
09/05/14,95.970001,90.331161,
10/05/14,95.349998,89.747581,
11/05/14,95.389999,89.785233,
12/05/14,95.040001,89.455788,
13/05/14,95.220001,89.625221,
14/05/14,96.449997,90.782951,
15/05/14,95.32,89.719353,
16/05/14,94.779999,89.211075,
17/05/14,93.089996,87.620369,
18/05/14,94.43,88.881645,
19/05/14,93.940002,88.420441,
20/05/14,94.720001,89.15461,
21/05/14,97.190002,91.479477,
22/05/14,97.029999,91.328888,
23/05/14,97.669998,91.931259,
24/05/14,99.019997,93.201942,
25/05/14,98.379997,92.599541,
26/05/14,98.150002,92.383072,
27/05/14,95.599998,89.982887,
28/05/14,96.129997,90.481758,
29/05/14,95.589996,89.973488,
30/05/14,95.120003,89.531097,
31/05/14,94.959999,89.380486,
01/06/14,94.480003,89.37104,
02/06/14,94.739998,89.616989,
03/06/14,95.989998,90.79937,
04/06/14,95.970001,90.780479,
05/06/14,97.239998,91.981789,
06/06/14,97.5,92.227737,
07/06/14,97.980003,92.68177,
08/06/14,99.160004,93.797981,
09/06/14,100.529999,95.093887,
10/06/14,100.57,95.131729,
11/06/14,100.580002,95.141182,
12/06/14,101.32,95.841164,
13/06/14,101.540001,96.049286,
14/06/14,100.889999,95.434425,
15/06/14,102.129997,96.607376,
16/06/14,102.25,96.720871,
17/06/14,102.5,96.957352,
18/06/14,103.300003,97.714119,
19/06/14,98.940002,93.589867,
20/06/14,98.120003,92.814201,
21/06/14,98.970001,93.61824,
22/06/14,98.360001,93.041229,
23/06/14,97.989998,92.691246,
24/06/14,101,95.538475,
25/06/14,101.43,95.945229,
26/06/14,101.660004,96.162788,
27/06/14,101.629997,96.134392,
28/06/14,100.860001,95.406036,
29/06/14,101.580002,96.087105,
30/06/14,101.790001,96.285759,
01/07/14,100.959999,95.500633,
02/07/14,101.059998,95.59523,
03/07/14,102.639999,97.089775,
04/07/14,101.75,96.247917,
05/07/14,97.870003,92.577736,
06/07/14,100.75,95.301994,
07/07/14,100.110001,94.696594,
08/07/14,100.75,95.301994,
09/07/14,99.18,93.816879,
10/07/14,99.900002,94.497955,
11/07/14,99.620003,94.233101,
12/07/14,99.620003,94.233101,
13/07/14,98.75,93.410141,
14/07/14,100.800003,95.349274,
15/07/14,101.019997,95.557373,
16/07/14,100.730003,95.283066,
17/07/14,99.809998,94.412827,
18/07/14,98.75,93.410141,
19/07/14,97.540001,92.265572,
20/07/14,96.260002,91.054794,
21/07/14,97.669998,92.388535,
22/07/14,99.760002,94.365532,
23/07/14,102.470001,96.92897,
24/07/14,102.989998,97.420868,
25/07/14,104.830002,99.161377,
26/07/14,105.220001,99.530258,
27/07/14,105.110001,99.426224,
28/07/14,106.739998,100.968079,
29/07/14,107.339996,101.535629,
30/07/14,106.980003,101.195114,
31/07/14,108,102.15995,
01/08/14,109.400002,103.484245,
02/08/14,108.599998,102.727509,
03/08/14,108.860001,102.97345,
04/08/14,108.699997,103.267952,
05/08/14,109.010002,103.562462,
06/08/14,108.830002,103.391457,
07/08/14,109.699997,104.217972,
08/08/14,111.25,105.690521,
09/08/14,112.82,107.182076,
10/08/14,114.18,108.474121,
11/08/14,113.989998,108.293594,
12/08/14,115.470001,109.699631,
13/08/14,114.669998,108.939629,
14/08/14,116.309998,110.497665,
15/08/14,116.470001,110.649666,
16/08/14,118.629997,112.701721,
17/08/14,117.599998,111.72319,
18/08/14,119,113.053238,
19/08/14,118.93,112.986725,
20/08/14,115.07,109.319611,
21/08/14,114.629997,108.901619,
22/08/14,115.93,110.136658,
23/08/14,115.489998,109.718643,
24/08/14,115,109.253128,
25/08/14,112.400002,106.783058,
26/08/14,114.120003,108.417107,
27/08/14,111.949997,106.355537,
28/08/14,111.620003,106.042046,
29/08/14,109.730003,104.24649,
30/08/14,108.230003,102.821449,
31/08/14,106.75,101.415398,
01/09/14,109.410004,103.942474,
02/09/14,112.650002,107.020561,
03/09/14,111.779999,106.194031,
04/09/14,112.940002,107.296066,
05/09/14,112.540001,106.916069,
06/09/14,112.010002,106.412552,
07/09/14,113.989998,108.293594,
08/09/14,113.910004,108.217598,
09/09/14,112.519997,106.897041,
10/09/14,110.379997,104.863991,
11/09/14,109.330002,103.86647,
12/09/14,106.25,100.940392,
13/09/14,106.260002,100.94989,
14/09/14,107.75,102.36544,
15/09/14,111.889999,106.298531,
16/09/14,112.010002,106.412552,
17/09/14,109.25,103.790474,
18/09/14,110.220001,104.711998,
19/09/14,109.800003,104.312988,
20/09/14,106.82,101.481903,
21/09/14,105.989998,100.693382,
22/09/14,108.720001,103.286957,
23/09/14,109.550003,104.075485,
24/09/14,112.400002,106.783058,
25/09/14,112.980003,107.334084,
26/09/14,113.099998,107.448074,
27/09/14,109.139999,103.685966,
28/09/14,115.309998,109.547638,
29/09/14,118.900002,112.958244,
30/09/14,117.160004,111.305183,
01/10/14,118.629997,112.701721,
02/10/14,118.650002,112.720718,
03/10/14,119.559998,113.585258,
04/10/14,119.940002,114.395966,
05/10/14,118.93,113.43264,
06/10/14,119.720001,114.186127,
07/10/14,122.019997,116.379814,
08/10/14,124.879997,119.107613,
09/10/14,126.459999,120.614594,
10/10/14,127.080002,121.205933,
11/10/14,127.830002,121.921249,
12/10/14,128.720001,122.770134,
13/10/14,128.449997,122.512596,
14/10/14,129.5,123.514084,
15/10/14,133,126.85228,
16/10/14,132.169998,126.060654,
17/10/14,128.789993,122.836899,
18/10/14,130.419998,124.391541,
19/10/14,128.460007,122.522156,
20/10/14,129.089996,123.123016,
21/10/14,129.360001,123.380539,
22/10/14,128.539993,122.598434,
23/10/14,126.410004,120.56691,
24/10/14,126.599998,120.748108,
25/10/14,127.139999,121.263153,
26/10/14,124.510002,118.754723,
27/10/14,122.239998,116.589638,
28/10/14,124.449997,118.697479,
29/10/14,123.589996,117.877243,
30/10/14,124.949997,119.174377,
31/10/14,127.040001,121.16777,
01/11/14,128.470001,122.531677,
02/11/14,127.5,121.606522,
03/11/14,125.900002,120.080482,
04/11/14,127.209999,121.329918,
05/11/14,126.690002,120.833961,
06/11/14,123.379997,117.676964,
07/11/14,124.239998,118.497215,
08/11/14,123.25,117.552971,
